x,y
24,21.54945196
50,47.46446305
15,17.21865634
38,36.58639803
87,87.28898389
36,32.46387493
12,10.78089683
81,80.7633986
25,24.61215147
5,6.963319071
16,11.23757338
16,13.53290206
24,24.60323899
39,39.40049976
54,48.43753838
60,61.69900319
26,26.92832418
73,70.4052055
29,29.34092408
31,25.30895192
68,69.02934339
87,84.99484703
58,57.04310305
54,50.5921991
84,83.02772202
58,57.05752706
49,47.95883341
20,24.34226432
90,94.68488281
48,48.03970696
4,7.08132338
25,21.99239907
42,42.33151664
0,0.329089443
60,61.92303698
93,91.17716423
39,39.45358014
7,5.996069607
21,22.59015942
68,61.18044414
84,85.02778957
0,-1.28631089
58,61.94273962
19,21.96033347
36,33.66194193
19,17.60946242
59,58.5630564
51,52.82390762
19,22.1363481
33,35.07467353
85,86.18822311
44,42.63227697
5,4.09817744
59,61.2229864
14,17.70677576
9,11.85312574
75,80.23051695
69,62.64931741
10,9.616859804
17,20.02797699
58,61.7510743
74,71.61010303
21,23.77154623
51,51.90142035
19,22.66073682
50,50.02897927
24,26.68794368
0,0.376911899
12,6.806419002
75,77.33986001
21,28.90260209
64,66.7346608
5,0.707510638
58,57.07748383
32,28.41453196
41,44.46272123
7,7.459605998
4,2.316708112
5,4.928546187
49,52.50336074
90,91.19109623
3,8.489164326
11,6.963371967
32,31.97989959
83,81.4281205
25,22.62365422
83,78.52505087
26,25.80714057
76,73.51081775
95,91.775467
53,49.21863516
77,80.50445387
42,50.05636123
25,25.46292549
54,55.32164264
55,59.1244888
0,1.100686692
73,71.98020786
