x,y,y =  0.4488821686174333  +  0.9912598943019966 x,the different between the actual data (learning rate = 0.0001) (50000 times),y = 0.448882168617433  +  0.991259894301996 x,the different between the actual data (learning rate = 0.0001) (90000 times)
77,79.77515201,76.78113723,2.994014783,76.77589403,2.99925798
21,23.17727887,21.25392903,1.923349839,21.26533995,1.911938921
22,25.60926156,22.24548632,3.36377524,22.25659984,3.352661717
20,17.85738813,20.26237174,-2.404983612,20.27408005,-2.416691925
36,41.84986439,36.12728837,5.722576021,36.13423836,5.715626027
15,9.805234876,15.3045853,-5.499350419,15.31778058,-5.512545707
62,58.87465933,61.90777789,-3.033118558,61.90699562,-3.032336285
95,97.61793701,94.62916843,2.988768578,94.61857213,2.999364883
20,18.39512747,20.26237174,-1.867244272,20.27408005,-1.878952585
5,8.746747654,5.389012403,3.357735251,5.40518164,3.341566014
4,2.811415826,4.397455114,-1.586039288,4.413921746,-1.60250592
19,17.09537241,19.27081445,-2.175442042,19.28282016,-2.18744775
96,95.14907176,95.62072572,-0.471653962,95.60983202,-0.460760262
62,61.38800663,61.90777789,-0.519771258,61.90699562,-0.518988985
36,40.24701716,36.12728837,4.119728791,36.13423836,4.112778797
15,14.82248589,15.3045853,-0.482099405,15.31778058,-0.495294693
65,66.95806869,64.88244976,2.075618934,64.8807753,2.077293392
14,16.63507984,14.31302801,2.322051834,14.32652069,2.308559151
87,90.65513736,86.69671012,3.958427241,86.68849297,3.966644387
69,77.22982636,68.84867891,8.381147447,68.84581488,8.384011485
89,92.11906278,88.6798247,3.439238083,88.67101276,3.448050019
51,46.91387709,51.00064771,-4.086770617,51.00313678,-4.089259688
89,89.82634442,88.6798247,1.146519723,88.67101276,1.155331659
27,21.71380347,27.20327277,-5.489469296,27.21289931,-5.499095845
97,97.41206981,96.61228301,0.799786799,96.60109192,0.810977894
58,57.01631363,57.94154873,-0.925235102,57.94195604,-0.925642408
79,78.31056542,78.7642518,-0.453686385,78.75841382,-0.447848398
21,19.1315097,21.25392903,-2.122419331,21.26533995,-2.133830249
93,93.03483388,92.64605385,0.388780026,92.63605234,0.398781541
27,26.59112396,27.20327277,-0.612148806,27.21289931,-0.621775355
99,97.55155344,98.59539759,-1.043844149,98.5836117,-1.032058265
31,31.43524822,31.16950192,0.265746297,31.17793889,0.257309328
33,35.12724777,33.1526165,1.974631269,33.16045868,1.966789089
80,78.61042432,79.75580909,-1.145384774,79.74967371,-1.139249393
28,33.07112825,28.19483006,4.876298195,28.20415921,4.866969041
